VALUE,MeshArea
0.51104397,435613.199
0.51163852,435612.001
0.51535815,435610.275
0.51329356,435608.772
0.50956768,435608.930
0.50028068,435606.008
0.53016311,435614.609
0.53846222,435612.521
0.54066044,435612.300
0.54456037,435610.127
0.53880900,435609.033
0.53305817,435608.839
0.52425849,435606.771
0.51874179,435605.932
0.50292230,435604.114
0.50218010,435617.072
0.53273708,435614.960
0.55256689,435614.712
0.56532031,435612.731
0.57158726,435611.810
0.56739026,435610.299
0.57024568,435609.366
0.56688839,435607.554
0.56857020,435607.396
0.55210435,435605.048
0.54108369,435604.783
0.53520292,435603.538
0.52222711,435601.678
0.50506163,435617.471
0.52807939,435615.951
0.54998928,435615.635
0.57243043,435614.139
0.57865119,435612.799
0.59709382,435611.302
0.59728968,435611.098
0.60263294,435609.716
0.60035521,435608.517
0.60435492,435606.175
0.58835167,435605.547
0.57103139,435605.143
0.55619889,435602.995
0.55394459,435602.640
0.53124714,435599.378
0.50810170,435599.819
0.51330519,435622.056
0.51497239,435620.948
0.50932753,435619.831
0.51023072,435618.295
0.53099257,435617.597
0.54298681,435617.113
0.56362069,435614.710
0.58703750,435613.642
0.60445577,435612.849
0.62479329,435611.460
0.62826127,435611.327
0.63608724,435609.042
0.64584839,435607.953
0.64097011,435607.218
0.61651087,435606.741
0.59383088,435603.889
0.58022630,435602.380
0.56568062,435602.067
0.55062002,435601.627
0.55041838,435599.252
0.52526617,435597.976
0.50444061,435623.154
0.52637535,435622.056
0.52969694,435620.948
0.53157133,435619.831
0.54812366,435619.593
0.56215274,435617.741
0.57181597,435615.254
0.58987486,435616.050
0.61252660,435613.475
0.63751221,435613.227
0.65349185,435613.023
0.67058426,435609.452
0.67000067,435609.145
0.68150550,435608.973
0.67231244,435606.712
0.64784342,435605.270
0.62974417,435603.889
0.61699480,435603.096
0.60349596,435602.675
0.58521873,435600.824
0.58186883,435598.753
0.56557071,435598.605
0.50370061,435623.154
0.52283466,435622.056
0.54255372,435620.948
0.55118638,435619.831
0.58288860,435618.796
0.58454889,435616.802
0.59345096,435617.182
0.61247301,435614.741
0.63907588,435614.989
0.66222250,435612.683
0.67669493,435610.701
0.69569391,435611.183
0.71189988,435609.748
0.71601492,435606.741
0.69161105,435608.141
0.67924422,435605.807
0.65182477,435604.611
0.63968211,435603.795
0.62187803,435600.934
0.61143190,435600.236
0.59601438,435599.903
0.59595788,435597.648
0.53075963,435596.710
0.50346398,435596.135
0.50453895,435623.154
0.51553875,435622.056
0.54085696,435620.948
0.56077433,435619.831
0.59763277,435617.625
0.60584038,435617.588
0.61534452,435617.015
0.63157302,435615.382
0.64909101,435613.309
0.68043846,435613.370
0.69074345,435611.207
0.70498723,435610.594
0.72377640,435609.481
0.73433906,435608.938
0.71314275,435605.771
0.69042408,435605.790
0.66757488,435604.577
0.65660483,435603.216
0.64017779,435602.643
0.64033610,435600.035
0.61920762,435600.088
0.63105613,435598.044
0.55575556,435596.775
0.53367573,435595.647
0.51681358,435622.056
0.53454846,435620.948
0.55155432,435619.831
0.57080394,435618.777
0.60330927,435618.356
0.61523664,435616.160
0.64088166,435615.370
0.65935242,435614.570
0.67926729,435612.573
0.69768173,435611.854
0.71108007,435610.757
0.71735710,435609.379
0.72021168,435607.549
0.71360290,435607.167
0.69810992,435605.221
0.67565167,435605.384
0.71306866,435603.236
0.70195282,435600.664
0.70318162,435602.102
0.68343455,435599.138
0.69492406,435597.167
0.62816966,435597.811
0.59448349,435594.946
0.51540864,435594.505
0.50450093,435622.055
0.52595043,435620.948
0.54327720,435619.831
0.57380903,435619.327
0.58955228,435617.142
0.60871333,435615.831
0.63136435,435615.977
0.64824080,435613.076
0.67479128,435614.100
0.69053876,435611.803
0.70581239,435609.581
0.71639490,435609.292
0.71082109,435609.169
0.74673671,435606.263
0.74881434,435606.571
0.73241353,435603.808
0.73670769,435603.269
0.74076182,435601.902
0.72687012,435600.017
0.70965225,435599.806
0.69159681,435599.353
0.65474343,435595.691
0.61516750,435595.661
0.56214452,435593.858
0.50253475,435593.227
0.50469655,435620.948
0.52067465,435619.831
0.56164712,435617.974
0.58227289,435618.683
0.60014158,435615.741
0.61716360,435614.822
0.63379210,435614.870
0.65298498,435612.583
0.66438442,435612.292
0.69168949,435610.477
0.69896388,435609.737
0.73527712,435607.382
0.74784756,435607.205
0.75555664,435605.640
0.74661207,435604.256
0.75176573,435603.255
0.76013386,435602.832
0.75166559,435600.575
0.73625642,435599.539
0.71529651,435597.331
0.68109590,435596.610
0.64572734,435595.545
0.59653604,435594.813
0.53159940,435592.663
0.50375575,435619.831
0.54057795,435618.866
0.56303102,435616.854
0.58215088,435617.458
0.60822499,435614.792
0.62320733,435614.254
0.63673425,435612.859
0.65227032,435610.750
0.67018533,435611.695
0.72344279,435608.822
0.73227286,435608.454
