"time","day","lat","lon","mag","basho"
"16/04/20 13:47",20,33,131.11,1.4,"阿蘇山周辺"
"16/04/20 13:45",20,32.79,130.95,1.6,"阿蘇山周辺"
"16/04/20 13:42",20,33.04,131.14,1.4,"熊本県北東部・大分県境付近"
"16/04/20 13:31",20,32.66,130.67,2.6,"熊本県中部"
"16/04/20 13:30",20,32.62,130.68,0.9,"熊本県中部"
"16/04/20 13:27",20,32.55,130.55,1,"八代海・熊本県南西部"
"16/04/20 13:26",20,32.16,130.51,1.8,"八代海・熊本県南西部"
"16/04/20 13:26",20,32.19,130.48,1.6,"八代海・熊本県南西部"
"16/04/20 13:22",20,32.92,130.99,2.2,"阿蘇山周辺"
"16/04/20 13:14",20,32.57,131.55,2.6,"宮崎県北部"
"16/04/20 13:07",20,32.59,130.65,1.1,"熊本県中部"
"16/04/20 13:04",20,33.28,131.41,1.9,"別府付近"
"16/04/20 13:03",20,32.87,130.84,1.7,"熊本県北部"
"16/04/20 12:47",20,32.96,131.1,2.4,"阿蘇山周辺"
"16/04/20 12:38",20,32.89,130.91,1.4,"阿蘇山周辺"
"16/04/20 12:38",20,32.83,130.85,1.5,"熊本県北部"
"16/04/20 12:34",20,32.97,131.12,1.3,"阿蘇山周辺"
"16/04/20 12:33",20,32.71,130.68,3.2,"熊本県中部"
"16/04/20 12:31",20,32.92,131.03,1.7,"阿蘇山周辺"
"16/04/20 12:26",20,32.51,130.62,0.9,"熊本県中部"
"16/04/20 12:21",20,33.05,131.14,1.2,"熊本県北東部・大分県境付近"
"16/04/20 12:20",20,32.59,130.69,2.5,"熊本県中部"
"16/04/20 12:18",20,32.6,130.68,3,"熊本県中部"
"16/04/20 12:15",20,32.93,131,1.4,"阿蘇山周辺"
"16/04/20 12:08",20,32,131.01,1.4,"宮崎県南西部"
"16/04/20 12:05",20,32.6,130.68,3.4,"熊本県中部"
"16/04/20 12:03",20,32.82,130.69,1.2,"熊本県北部"
"16/04/20 12:02",20,32.66,130.72,2,"熊本県中部"
"16/04/20 11:58",20,32.74,130.77,1.4,"熊本県中部"
"16/04/20 11:58",20,32.66,130.73,2.8,"熊本県中部"
"16/04/20 11:56",20,32.83,130.77,1.3,"熊本県北部"
"16/04/20 11:40",20,32.66,130.7,1.5,"熊本県中部"
"16/04/20 11:39",20,33.27,131.37,2,"大分県東部"
"16/04/20 11:37",20,32.64,130.7,1.1,"熊本県中部"
"16/04/20 11:32",20,32.7,130.66,1,"熊本県中部"
"16/04/20 11:24",20,32.59,131.32,3,"宮崎県北部"
"16/04/20 11:20",20,32.92,130.87,2.3,"阿蘇山周辺"
"16/04/20 11:19",20,32.75,130.76,1.6,"熊本県北部"
"16/04/20 11:19",20,32.75,130.76,1.7,"熊本県中部"
"16/04/20 11:10",20,32.79,130.81,1.6,"熊本県北部"
"16/04/20 10:59",20,32.57,130.66,2.1,"熊本県中部"
"16/04/20 10:43",20,33.01,131.22,2.8,"熊本県北東部・大分県境付近"
"16/04/20 10:36",20,32.87,130.89,1.5,"阿蘇山周辺"
"16/04/20 10:21",20,32.69,130.59,1.5,"熊本県中部"
"16/04/20 10:17",20,32.55,130.64,2.6,"熊本県中部"
"16/04/20 10:11",20,32.78,130.74,2.3,"熊本県北部"
"16/04/20 09:55",20,32.64,130.7,2.6,"熊本県中部"
"16/04/20 09:47",20,32.56,130.67,1.8,"熊本県中部"
"16/04/20 09:46",20,32.58,130.65,1.9,"熊本県中部"
"16/04/20 09:39",20,32.86,130.81,2.3,"熊本県北部"
"16/04/20 09:33",20,32.7,130.65,2.6,"熊本県中部"
"16/04/20 09:24",20,33.05,131.15,2.8,"熊本県北東部・大分県境付近"
"16/04/20 09:20",20,32.73,130.75,1.2,"熊本県中部"
"16/04/20 09:05",20,32.61,130.67,1.6,"熊本県中部"
"16/04/20 09:04",20,32.6,130.68,2.2,"熊本県中部"
