MESH_ID,CITY_CODE,POP2010,POP2020,POP2025,POP2030,POP2035,POP2040,POP2045,POP2050,INDEX2020,INDEX2025,INDEX2030,INDEX2035,INDEX2040,INDEX2045,INDEX2050,POP2010A,POP2020A,POP2025A,POP2030A,POP2035A,POP2040A,POP2045A,POP2050A,INDEX2020A,INDEX2025A,INDEX2030A,INDEX2035A,INDEX2040A,INDEX2045A,INDEX2050A,POP2010B,POP2020B,POP2025B,POP2030B,POP2035B,POP2040B,POP2045B,POP2050B,INDEX2020B,INDEX2025B,INDEX2030B,INDEX2035B,INDEX2040B,INDEX2045B,INDEX2050B,POP2010C,POP2020C,POP2025C,POP2030C,POP2035C,POP2040C,POP2045C,POP2050C,INDEX2020C,INDEX2025C,INDEX2030C,INDEX2035C,INDEX2040C,INDEX2045C,INDEX2050C,POP2010D,POP2020D,POP2025D,POP2030D,POP2035D,POP2040D,POP2045D,POP2050D,INDEX2020D,INDEX2025D,INDEX2030D,INDEX2035D,INDEX2040D,INDEX2045D,INDEX2050D,MeshArea,ClipArea
"53392336","13209",11346.0800000000,11589.1300000000,11454.4900000000,11244.7500000000,11001.7000000000,10730.1800000000,10414.3500000000,10036.5100000000,102.1420000000,100.9550000000,99.1070000000,96.9650000000,94.5720000000,91.7880000000,88.4580000000,1685.9200000000,1371.1300000000,1248.3600000000,1135.4600000000,1078.9400000000,1059.3400000000,1019.5800000000,949.6900000000,81.3280000000,74.0460000000,67.3500000000,63.9970000000,62.8350000000,60.4760000000,56.3310000000,7263.3500000000,7223.2400000000,7185.0900000000,6897.0800000000,6455.2400000000,5875.3800000000,5499.2800000000,5301.0300000000,99.4480000000,98.9230000000,94.9570000000,88.8740000000,80.8910000000,75.7130000000,72.9830000000,2396.7900000000,2994.7400000000,3021.0600000000,3212.2200000000,3467.5300000000,3795.4800000000,3895.5400000000,3785.7900000000,124.9480000000,126.0460000000,134.0220000000,144.6740000000,158.3570000000,162.5320000000,157.9530000000,939.1300000000,1677.0100000000,1889.4800000000,1928.8700000000,1880.8800000000,2023.3900000000,2241.5900000000,2504.1400000000,178.5710000000,201.1950000000,205.3890000000,200.2790000000,215.4540000000,238.6880000000,266.6450000000,1048209.653,28394.210
"53392345","13209",14144.6900000000,14710.8800000000,14746.7700000000,14670.1900000000,14464.0500000000,14132.3200000000,13692.5600000000,13150.2500000000,104.0030000000,104.2570000000,103.7150000000,102.2580000000,99.9130000000,96.8040000000,92.9700000000,1692.4000000000,1828.2300000000,1739.0100000000,1541.7200000000,1409.5500000000,1302.5000000000,1206.5000000000,1132.6200000000,108.0260000000,102.7540000000,91.0970000000,83.2870000000,76.9620000000,71.2890000000,66.9240000000,10314.8700000000,9932.7300000000,9728.6100000000,9315.5300000000,8617.4400000000,7913.1400000000,7093.7400000000,6342.9000000000,96.2950000000,94.3160000000,90.3120000000,83.5440000000,76.7160000000,68.7720000000,61.4930000000,2137.3900000000,2949.8800000000,3279.1400000000,3812.9000000000,4437.0200000000,4916.6700000000,5392.3200000000,5674.7300000000,138.0130000000,153.4180000000,178.3900000000,207.5910000000,230.0310000000,252.2850000000,265.4980000000,922.2500000000,1470.4800000000,1780.7900000000,1973.7000000000,2155.5000000000,2528.7600000000,2977.8100000000,3275.5200000000,159.4450000000,193.0920000000,214.0090000000,233.7220000000,274.1950000000,322.8850000000,355.1660000000,1048102.714,1048102.714
"53392346","13209",12776.2900000000,13446.8100000000,13524.0000000000,13518.4900000000,13441.0200000000,13241.1200000000,12956.6200000000,12595.1000000000,105.2480000000,105.8520000000,105.8090000000,105.2030000000,103.6380000000,101.4110000000,98.5820000000,1508.0700000000,1583.3500000000,1619.5000000000,1483.0400000000,1416.2400000000,1358.1000000000,1269.0200000000,1165.9100000000,104.9920000000,107.3890000000,98.3400000000,93.9110000000,90.0560000000,84.1490000000,77.3110000000,8889.6400000000,8863.5100000000,8735.6700000000,8551.5900000000,8117.6500000000,7514.9700000000,7032.8900000000,6556.3500000000,99.7060000000,98.2680000000,96.1970000000,91.3160000000,84.5360000000,79.1130000000,73.7530000000,2378.6100000000,2999.9300000000,3168.8300000000,3483.8400000000,3907.1300000000,4368.0400000000,4654.7300000000,4872.8600000000,126.1210000000,133.2220000000,146.4650000000,164.2610000000,183.6380000000,195.6910000000,204.8620000000,1063.5800000000,1608.6400000000,1850.4200000000,1951.7300000000,2014.3600000000,2231.9700000000,2555.7100000000,2899.1600000000,151.2480000000,173.9800000000,183.5060000000,189.3940000000,209.8540000000,240.2930000000,272.5850000000,1048102.714,325001.783
"53392354","13209",10830.8400000000,10910.9300000000,10764.9800000000,10538.7200000000,10236.6700000000,9905.4900000000,9545.1900000000,9160.7400000000,100.7390000000,99.3920000000,97.3030000000,94.5140000000,91.4560000000,88.1300000000,84.5800000000,1314.9800000000,1299.5500000000,1180.3700000000,1062.7700000000,989.7200000000,934.2500000000,881.3600000000,825.6100000000,98.8270000000,89.7630000000,80.8200000000,75.2650000000,71.0470000000,67.0250000000,62.7850000000,7178.3300000000,6642.9000000000,6558.6500000000,6360.3100000000,5972.6600000000,5455.2000000000,4924.9000000000,4554.7200000000,92.5410000000,91.3670000000,88.6040000000,83.2040000000,75.9950000000,68.6080000000,63.4510000000,2337.5000000000,2968.5200000000,3026.0100000000,3115.7100000000,3274.3400000000,3516.0900000000,3739.0000000000,3780.4700000000,126.9960000000,129.4550000000,133.2920000000,140.0790000000,150.4210000000,159.9570000000,161.7310000000,1031.3100000000,1592.2600000000,1887.5500000000,1939.2300000000,1901.6300000000,1938.6500000000,2074.5400000000,2287.8800000000,154.3920000000,183.0250000000,188.0360000000,184.3900000000,187.9790000000,201.1560000000,221.8420000000,1047995.752,304960.034
"53392355","13209",10914.5500000000,11415.1500000000,11478.7900000000,11452.0500000000,11332.3200000000,11102.5200000000,10808.1300000000,10464.5800000000,104.5870000000,105.1700000000,104.9250000000,103.8280000000,101.7220000000,99.0250000000,95.8770000000,1080.1100000000,1381.5000000000,1394.3500000000,1247.9500000000,1151.2500000000,1064.8900000000,985.2600000000,925.9700000000,127.9040000000,129.0930000000,115.5390000000,106.5860000000,98.5910000000,91.2180000000,85.7290000000,7738.0500000000,7449.4700000000,7309.6300000000,7123.6100000000,6736.9200000000,6241.1200000000,5691.2700000000,5154.9700000000,96.2710000000,94.4630000000,92.0590000000,87.0620000000,80.6550000000,73.5490000000,66.6180000000,2096.4000000000,2584.1500000000,2774.8200000000,3080.4900000000,3444.1600000000,3796.5100000000,4131.6000000000,4383.6200000000,123.2660000000,132.3610000000,146.9420000000,164.2890000000,181.0970000000,197.0810000000,209.1020000000,1047.7200000000,1382.9400000000,1580.7100000000,1684.6800000000,1782.3300000000,1992.9300000000,2255.4500000000,2504.6700000000,131.9950000000,150.8710000000,160.7950000000,170.1150000000,190.2160000000,215.2720000000,239.0590000000,1047995.752,1047995.752
"53392356","13209",9935.2900000000,10092.3900000000,9988.9000000000,9807.3100000000,9571.6000000000,9283.3000000000,8969.6200000000,8639.3500000000,101.5810000000,100.5400000000,98.7120000000,96.3390000000,93.4380000000,90.2800000000,86.9560000000,954.0400000000,1084.3900000000,1109.5300000000,1008.4100000000,940.5800000000,889.4100000000,823.9200000000,767.4000000000,113.6630000000,116.2980000000,105.6990000000,98.5890000000,93.2260000000,86.3610000000,80.4370000000,6553.0800000000,6123.5000000000,5973.7200000000,5797.2400000000,5495.5300000000,5073.8100000000,4723.5600000000,4303.7900000000,93.4450000000,91.1590000000,88.4660000000,83.8620000000,77.4260000000,72.0820000000,65.6760000000,2428.1900000000,2884.4400000000,2905.5700000000,3001.5900000000,3135.4300000000,3320.0100000000,3422.0700000000,3568.1000000000,118.7900000000,119.6600000000,123.6140000000,129.1260000000,136.7280000000,140.9310000000,146.9450000000,1153.2400000000,1620.0800000000,1842.4100000000,1846.6300000000,1787.9200000000,1849.7700000000,1969.7400000000,2134.4400000000,140.4810000000,159.7590000000,160.1250000000,155.0350000000,160.3980000000,170.8010000000,185.0820000000,1047995.752,1031191.247
"53392357","13209",9155.2300000000,9415.0900000000,9331.6500000000,9165.7000000000,8949.5900000000,8711.4000000000,8445.7200000000,8157.9700000000,102.8380000000,101.9270000000,100.1140000000,97.7540000000,95.1520000000,92.2500000000,89.1070000000,1163.9800000000,1044.8300000000,994.8000000000,917.3500000000,883.1300000000,863.9200000000,827.7400000000,780.2700000000,89.7640000000,85.4650000000,78.8110000000,75.8720000000,74.2210000000,71.1130000000,67.0350000000,5927.2300000000,5686.1400000000,5579.0300000000,5388.5200000000,5055.8200000000,4686.5200000000,4489.1200000000,4332.2600000000,95.9330000000,94.1250000000,90.9110000000,85.2980000000,79.0680000000,75.7370000000,73.0910000000,2064.0200000000,2684.0500000000,2757.7500000000,2859.7500000000,3010.5600000000,3160.9000000000,3128.7400000000,3045.3300000000,130.0400000000,133.6110000000,138.5520000000,145.8590000000,153.1430000000,151.5850000000,147.5440000000,791.2800000000,1442.3000000000,1740.6000000000,1745.0100000000,1709.2800000000,1766.6300000000,1902.2800000000,2029.4900000000,182.2740000000,219.9730000000,220.5300000000,216.0150000000,223.2620000000,240.4050000000,256.4820000000,1047995.752,373447.970
"53392364","13209",11174.0900000000,11277.5400000000,11088.4600000000,10857.5600000000,10629.5300000000,10388.1800000000,10124.4100000000,9830.0600000000,100.9260000000,99.2340000000,97.1670000000,95.1270000000,92.9670000000,90.6060000000,87.9720000000,1444.9500000000,1285.7600000000,1227.3200000000,1126.4900000000,1076.1900000000,1054.5600000000,1020.5800000000,958.3000000000,88.9830000000,84.9390000000,77.9600000000,74.4790000000,72.9820000000,70.6310000000,66.3210000000,6651.1700000000,6690.4500000000,6631.7200000000,6523.3700000000,6179.8000000000,5763.8400000000,5465.5400000000,5221.1900000000,100.5910000000,99.7080000000,98.0790000000,92.9130000000,86.6590000000,82.1740000000,78.5000000000,3077.9400000000,3301.3100000000,3229.3900000000,3207.6700000000,3373.5000000000,3569.7500000000,3638.2400000000,3650.5200000000,107.2570000000,104.9200000000,104.2150000000,109.6030000000,115.9790000000,118.2040000000,118.6030000000,1444.5900000000,2066.9200000000,2119.8600000000,2030.8800000000,1951.6500000000,1953.3400000000,2120.7500000000,2309.0300000000,143.0800000000,146.7450000000,140.5850000000,135.1010000000,135.2180000000,146.8060000000,159.8400000000,1047888.768,3356.843
"53392365","13209",10580.5700000000,11028.2000000000,11085.1100000000,11081.8400000000,10989.7500000000,10785.9700000000,10511.4800000000,10189.9200000000,104.2310000000,104.7690000000,104.7380000000,103.8670000000,101.9410000000,99.3470000000,96.3080000000,1032.7000000000,1252.8700000000,1298.4200000000,1189.2000000000,1119.2600000000,1050.8300000000,964.6800000000,887.1200000000,121.3200000000,125.7310000000,115.1540000000,108.3820000000,101.7560000000,93.4130000000,85.9030000000,7568.3900000000,7297.0400000000,7147.9500000000,6985.5000000000,6742.6600000000,6285.4500000000,5851.2200000000,5231.4500000000,96.4150000000,94.4450000000,92.2980000000,89.0900000000,83.0490000000,77.3110000000,69.1220000000,1979.5000000000,2478.2700000000,2638.7300000000,2907.1000000000,3127.8100000000,3449.6700000000,3695.5800000000,4071.3700000000,125.1970000000,133.3030000000,146.8600000000,158.0100000000,174.2700000000,186.6930000000,205.6770000000,972.6800000000,1299.9900000000,1514.4700000000,1610.6900000000,1687.1100000000,1865.4900000000,2011.6500000000,2250.2000000000,133.6500000000,155.7010000000,165.5930000000,173.4500000000,191.7890000000,206.8150000000,231.3400000000,1047888.768,704627.105
"53392366","13209",9582.3000000000,9935.3200000000,9913.4300000000,9832.8700000000,9714.1100000000,9530.8700000000,9311.0900000000,9058.3200000000,103.6840000000,103.4560000000,102.6150000000,101.3760000000,99.4630000000,97.1700000000,94.5320000000,1227.0700000000,1207.1600000000,1161.5700000000,1069.5200000000,1038.1800000000,1014.8200000000,952.3700000000,872.5200000000,98.3770000000,94.6620000000,87.1600000000,84.6060000000,82.7030000000,77.6130000000,71.1060000000,6253.4100000000,6091.3300000000,6098.6000000000,5983.4700000000,5667.5500000000,5319.2600000000,5120.0500000000,4946.0800000000,97.4080000000,97.5240000000,95.6830000000,90.6310000000,85.0620000000,81.8760000000,79.0940000000,2101.8500000000,2636.7500000000,2653.1500000000,2779.7900000000,3008.3100000000,3196.7100000000,3238.6100000000,3239.6500000000,125.4490000000,126.2290000000,132.2540000000,143.1270000000,152.0900000000,154.0840000000,154.1330000000,925.0300000000,1433.0700000000,1631.6700000000,1712.9000000000,1653.3500000000,1724.5000000000,1921.5100000000,2085.0800000000,154.9210000000,176.3910000000,185.1720000000,178.7350000000,186.4260000000,207.7240000000,225.4070000000,1047888.768,1047888.768
