MESH_ID,CITY_CODE,POP2010,POP2020,POP2025,POP2030,POP2035,POP2040,POP2045,POP2050,INDEX2020,INDEX2025,INDEX2030,INDEX2035,INDEX2040,INDEX2045,INDEX2050,POP2010A,POP2020A,POP2025A,POP2030A,POP2035A,POP2040A,POP2045A,POP2050A,INDEX2020A,INDEX2025A,INDEX2030A,INDEX2035A,INDEX2040A,INDEX2045A,INDEX2050A,POP2010B,POP2020B,POP2025B,POP2030B,POP2035B,POP2040B,POP2045B,POP2050B,INDEX2020B,INDEX2025B,INDEX2030B,INDEX2035B,INDEX2040B,INDEX2045B,INDEX2050B,POP2010C,POP2020C,POP2025C,POP2030C,POP2035C,POP2040C,POP2045C,POP2050C,INDEX2020C,INDEX2025C,INDEX2030C,INDEX2035C,INDEX2040C,INDEX2045C,INDEX2050C,POP2010D,POP2020D,POP2025D,POP2030D,POP2035D,POP2040D,POP2045D,POP2050D,INDEX2020D,INDEX2025D,INDEX2030D,INDEX2035D,INDEX2040D,INDEX2045D,INDEX2050D,MeshArea,ClipArea
"53392583","13111",11603.7000000000,11672.3700000000,11655.6200000000,11592.3400000000,11441.3000000000,11201.1100000000,10886.5300000000,10520.3000000000,100.5920000000,100.4470000000,99.9020000000,98.6000000000,96.5310000000,93.8190000000,90.6630000000,1709.8300000000,1670.6900000000,1349.3300000000,1197.9700000000,1094.7900000000,1033.8200000000,997.2700000000,963.8300000000,97.7110000000,78.9160000000,70.0640000000,64.0290000000,60.4630000000,58.3260000000,56.3700000000,8257.8900000000,8036.0700000000,8256.9100000000,8153.2700000000,7721.5600000000,6820.2900000000,6067.4700000000,5617.0600000000,97.3140000000,99.9880000000,98.7330000000,93.5050000000,82.5910000000,73.4750000000,68.0210000000,1636.0000000000,1965.6700000000,2049.4400000000,2241.1700000000,2625.0000000000,3347.0600000000,3821.8200000000,3939.4400000000,120.1510000000,125.2710000000,136.9910000000,160.4520000000,204.5880000000,233.6080000000,240.7970000000,764.2700000000,1021.9000000000,1188.0000000000,1211.0300000000,1235.2300000000,1375.0900000000,1679.5700000000,2255.6600000000,133.7090000000,155.4420000000,158.4560000000,161.6220000000,179.9220000000,219.7610000000,295.1390000000,1047674.734,554001.143
"53392593","13111",15040.9100000000,15313.6300000000,15138.0500000000,14856.9500000000,14509.0300000000,14094.4500000000,13601.3300000000,13045.3400000000,101.8130000000,100.6460000000,98.7770000000,96.4640000000,93.7070000000,90.4290000000,86.7320000000,1343.9800000000,1743.6800000000,1756.8600000000,1537.5500000000,1359.3700000000,1223.2100000000,1106.7400000000,1040.3900000000,129.7400000000,130.7210000000,114.4030000000,101.1450000000,91.0140000000,82.3480000000,77.4110000000,11293.6100000000,10596.5900000000,10251.2400000000,9953.4000000000,9361.4200000000,8529.2500000000,7704.0200000000,6717.4500000000,93.8280000000,90.7700000000,88.1330000000,82.8910000000,75.5230000000,68.2160000000,59.4800000000,2403.3200000000,2973.3600000000,3129.9800000000,3366.0100000000,3788.2300000000,4342.0100000000,4790.5600000000,5287.4600000000,123.7190000000,130.2360000000,140.0570000000,157.6250000000,180.6670000000,199.3310000000,220.0060000000,1053.9900000000,1517.0800000000,1768.3700000000,1844.5800000000,1902.7600000000,2054.5900000000,2377.1400000000,2814.0400000000,143.9370000000,167.7790000000,175.0090000000,180.5290000000,194.9340000000,225.5370000000,266.9890000000,1047567.683,918067.822
"53392594","13111",18497.4100000000,18944.7700000000,18841.6200000000,18616.7500000000,18293.2100000000,17876.6500000000,17363.1800000000,16783.9100000000,102.4190000000,101.8610000000,100.6450000000,98.8960000000,96.6440000000,93.8680000000,90.7370000000,1927.1900000000,1992.8400000000,1952.3100000000,1784.8900000000,1687.9600000000,1600.0700000000,1494.1800000000,1385.5400000000,103.4070000000,101.3030000000,92.6160000000,87.5870000000,83.0260000000,77.5320000000,71.8940000000,12899.1500000000,12492.4700000000,12236.0700000000,11880.8600000000,11268.2900000000,10587.9600000000,9975.7700000000,9396.2400000000,96.8470000000,94.8600000000,92.1060000000,87.3570000000,82.0830000000,77.3370000000,72.8440000000,3671.0500000000,4459.4500000000,4653.2300000000,4950.9800000000,5336.9600000000,5688.6200000000,5893.2200000000,6002.1400000000,121.4760000000,126.7550000000,134.8660000000,145.3800000000,154.9590000000,160.5320000000,163.4990000000,1785.1500000000,2245.6400000000,2664.4500000000,2740.3100000000,2797.5700000000,2982.2400000000,3279.4000000000,3548.7800000000,125.7960000000,149.2560000000,153.5060000000,156.7130000000,167.0580000000,183.7040000000,198.7940000000,1047567.683,46432.616
"53393502","13112",7520.0800000000,7443.4000000000,7288.3500000000,7101.7900000000,6885.9100000000,6637.7900000000,6361.6700000000,6054.9600000000,98.9800000000,96.9190000000,94.4380000000,91.5670000000,88.2680000000,84.5960000000,80.5170000000,749.7000000000,803.1400000000,761.1500000000,676.9100000000,613.7200000000,564.8800000000,521.7200000000,487.2800000000,107.1280000000,101.5270000000,90.2910000000,81.8620000000,75.3470000000,69.5910000000,64.9970000000,5418.5600000000,5070.4800000000,4938.9000000000,4701.6800000000,4394.2500000000,4016.0300000000,3618.2700000000,3172.2100000000,93.5760000000,91.1480000000,86.7700000000,81.0960000000,74.1160000000,66.7750000000,58.5430000000,1351.8400000000,1569.7000000000,1588.2200000000,1723.1200000000,1877.8500000000,2056.7900000000,2221.6000000000,2395.3700000000,116.1160000000,117.4860000000,127.4650000000,138.9110000000,152.1470000000,164.3390000000,177.1930000000,662.1100000000,829.6700000000,931.9100000000,952.6100000000,949.0000000000,1048.9200000000,1170.5300000000,1307.3300000000,125.3070000000,140.7490000000,143.8750000000,143.3300000000,158.4210000000,176.7880000000,197.4490000000,1047460.610,727884.418
"53393503","13111",9958.7300000000,10150.7100000000,10065.7700000000,9906.7700000000,9700.6300000000,9451.1200000000,9144.5100000000,8778.1600000000,101.9280000000,101.0750000000,99.4780000000,97.4080000000,94.9030000000,91.8240000000,88.1450000000,1021.1600000000,1059.6400000000,1053.8400000000,938.8300000000,864.0900000000,812.8700000000,761.4200000000,708.5500000000,103.7680000000,103.2000000000,91.9380000000,84.6180000000,79.6030000000,74.5640000000,69.3870000000,7033.2900000000,6826.4800000000,6653.0800000000,6349.5300000000,5930.4400000000,5465.8500000000,5105.4300000000,4767.9700000000,97.0600000000,94.5940000000,90.2780000000,84.3200000000,77.7140000000,72.5890000000,67.7910000000,1904.2600000000,2264.5600000000,2358.8500000000,2618.4100000000,2906.1000000000,3172.3800000000,3277.6500000000,3301.6300000000,118.9210000000,123.8720000000,137.5030000000,152.6100000000,166.5940000000,172.1220000000,173.3810000000,935.7300000000,1158.5000000000,1341.8000000000,1389.6400000000,1428.2600000000,1612.2700000000,1824.7900000000,2008.4600000000,123.8070000000,143.3960000000,148.5090000000,152.6360000000,172.3010000000,195.0120000000,214.6410000000,1047460.610,1047460.610
"53393504","13111",18298.7700000000,18718.5500000000,18612.5500000000,18377.8200000000,18061.7600000000,17663.0000000000,17157.8900000000,16553.9600000000,102.2940000000,101.7150000000,100.4320000000,98.7050000000,96.5260000000,93.7650000000,90.4650000000,1923.1900000000,1964.7700000000,1916.3100000000,1729.4900000000,1620.3700000000,1536.1400000000,1446.7000000000,1346.6200000000,102.1620000000,99.6420000000,89.9280000000,84.2540000000,79.8750000000,75.2240000000,70.0200000000,12688.0900000000,12460.4000000000,12233.9400000000,11790.7600000000,11160.4800000000,10476.6100000000,9755.2000000000,9198.8100000000,98.2050000000,96.4210000000,92.9280000000,87.9600000000,82.5700000000,76.8850000000,72.5000000000,3687.4500000000,4293.3400000000,4462.2500000000,4857.5200000000,5280.8600000000,5650.2000000000,5955.9400000000,6008.4900000000,116.4310000000,121.0120000000,131.7310000000,143.2120000000,153.2280000000,161.5190000000,162.9440000000,1828.9400000000,2245.8500000000,2594.7700000000,2615.2100000000,2673.2000000000,2957.4300000000,3283.9800000000,3540.6500000000,122.7950000000,141.8730000000,142.9900000000,146.1610000000,161.7020000000,179.5560000000,193.5900000000,1047460.610,373987.998
"53393512","13112",9377.7400000000,9483.5700000000,9421.1700000000,9294.9700000000,9089.8200000000,8852.2400000000,8567.9300000000,8249.9300000000,101.1290000000,100.4630000000,99.1170000000,96.9300000000,94.3960000000,91.3650000000,87.9740000000,1170.0700000000,956.8400000000,835.2800000000,785.1000000000,769.1600000000,760.8000000000,730.8400000000,680.5200000000,81.7760000000,71.3870000000,67.0990000000,65.7360000000,65.0220000000,62.4610000000,58.1610000000,6339.8000000000,6189.0000000000,6127.5500000000,5857.6100000000,5491.9900000000,5138.2800000000,4882.2800000000,4723.7100000000,97.6210000000,96.6520000000,92.3940000000,86.6270000000,81.0480000000,77.0100000000,74.5090000000,1867.9000000000,2337.7100000000,2458.3000000000,2652.2400000000,2828.6400000000,2953.1100000000,2954.7800000000,2845.6500000000,125.1520000000,131.6080000000,141.9900000000,151.4340000000,158.0980000000,158.1870000000,152.3450000000,886.0400000000,1162.3300000000,1436.6400000000,1474.4300000000,1517.5500000000,1638.9200000000,1774.9800000000,1860.5100000000,131.1830000000,162.1420000000,166.4070000000,171.2730000000,184.9710000000,200.3270000000,209.9800000000,1047353.514,511816.597
"53393513","13111",11043.0200000000,11095.1600000000,10961.8000000000,10757.7100000000,10515.9500000000,10245.1800000000,9934.1400000000,9566.7700000000,100.4720000000,99.2650000000,97.4160000000,95.2270000000,92.7750000000,89.9590000000,86.6320000000,1221.0600000000,1092.0000000000,1064.1700000000,986.4800000000,943.4900000000,915.7700000000,870.4000000000,804.0200000000,89.4300000000,87.1510000000,80.7890000000,77.2680000000,74.9980000000,71.2820000000,65.8460000000,7254.8900000000,7129.9600000000,6970.8300000000,6606.0800000000,6271.1500000000,5918.5800000000,5659.3700000000,5405.3500000000,98.2780000000,96.0850000000,91.0570000000,86.4400000000,81.5810000000,78.0080000000,74.5060000000,2567.1000000000,2873.1500000000,2926.7400000000,3165.1200000000,3301.2700000000,3410.7900000000,3404.3200000000,3357.3300000000,111.9220000000,114.0100000000,123.2960000000,128.5990000000,132.8650000000,132.6130000000,130.7830000000,1308.1000000000,1572.9300000000,1757.7500000000,1755.7700000000,1764.3900000000,1949.5600000000,2056.0200000000,2125.9000000000,120.2450000000,134.3740000000,134.2230000000,134.8820000000,149.0380000000,157.1760000000,162.5180000000,1047353.514,1047353.514
"53393514","13111",21165.2500000000,21768.4900000000,21700.6400000000,21472.7100000000,21153.5300000000,20721.9300000000,20162.3700000000,19475.6300000000,102.8500000000,102.5300000000,101.4530000000,99.9450000000,97.9050000000,95.2620000000,92.0170000000,2492.6000000000,2301.3100000000,2128.3500000000,1926.7500000000,1819.9400000000,1759.8100000000,1681.0200000000,1577.6200000000,92.3260000000,85.3870000000,77.2990000000,73.0140000000,70.6010000000,67.4400000000,63.2920000000,14596.3100000000,14662.2500000000,14535.2000000000,14069.9000000000,13136.6600000000,12111.4400000000,11321.9500000000,10711.9700000000,100.4520000000,99.5810000000,96.3940000000,90.0000000000,82.9760000000,77.5670000000,73.3880000000,4076.3600000000,4804.8500000000,5037.0200000000,5475.9900000000,6196.8700000000,6850.6100000000,7159.3400000000,7185.9800000000,117.8710000000,123.5670000000,134.3350000000,152.0200000000,168.0570000000,175.6310000000,176.2840000000,1879.0500000000,2597.8400000000,2914.9100000000,2970.7500000000,3084.2300000000,3408.7800000000,3976.2800000000,4458.1300000000,138.2530000000,155.1270000000,158.0990000000,164.1380000000,181.4100000000,211.6110000000,237.2540000000,1047353.514,304225.968
"53393522","13112",15145.2700000000,15405.7600000000,15283.1100000000,15057.5800000000,14755.2900000000,14391.2500000000,13960.9700000000,13451.1200000000,101.7200000000,100.9100000000,99.4210000000,97.4250000000,95.0210000000,92.1800000000,88.8140000000,1578.7600000000,1577.1100000000,1481.1200000000,1330.0800000000,1234.3100000000,1166.2100000000,1096.9300000000,1016.1100000000,99.8950000000,93.8150000000,84.2480000000,78.1820000000,73.8690000000,69.4800000000,64.3610000000,10523.8600000000,10193.0500000000,10006.5300000000,9628.4600000000,9045.8000000000,8435.7100000000,7775.7100000000,7246.6100000000,96.8570000000,95.0840000000,91.4920000000,85.9550000000,80.1580000000,73.8860000000,68.8590000000,3042.6300000000,3635.6200000000,3795.4900000000,4099.0700000000,4475.2200000000,4789.3800000000,5088.3800000000,5188.4500000000,119.4890000000,124.7440000000,134.7210000000,147.0840000000,157.4090000000,167.2360000000,170.5250000000,1475.7400000000,1945.7000000000,2263.3100000000,2298.0900000000,2370.4100000000,2592.2700000000,2898.9700000000,3135.8700000000,131.8460000000,153.3680000000,155.7250000000,160.6250000000,175.6590000000,196.4420000000,212.4950000000,1047246.396,481973.693
